2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 105, value: IP 66/67/68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 106, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 107, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 108, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 109, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 110, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 111, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 112, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 113, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 114, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 115, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 116, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 117, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 118, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 119, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 120, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 121, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 122, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 123, value: IP68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 124, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 125, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 126, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 127, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 128, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 129, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 130, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 131, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 132, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 133, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 134, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 135, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 136, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 137, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 138, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 139, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 140, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 141, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 142, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 143, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 144, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 145, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 146, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 147, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 148, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 149, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 150, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 151, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 152, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 153, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 154, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 155, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 156, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 157, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 158, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 159, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 160, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 161, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 162, value: IP 66/67/68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 163, value: IP 67
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 164, value: IP67
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 165, value: IP67
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 166, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 167, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 168, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 169, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 170, value: IP 66/67/68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 171, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 172, value: IP66/IP68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 173, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 174, value: IP66/IP68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 175, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 176, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 177, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 178, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 179, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 180, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 181, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 182, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 183, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 184, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 185, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 186, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 187, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 188, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 189, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 190, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 191, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 192, value: IP 67
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 193, value: IP 67
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 194, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 195, value: IP 66/67/68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 196, value: IP 67
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 197, value: IP 67
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 198, value: IP 67
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 199, value: IP 66
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 200, value: IP 66/67/68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 201, value: IP 68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 202, value: IP 68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 203, value: IP 68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 204, value: IP 68
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 205, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 206, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 207, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 208, value: nan
2025-10-07 20:26:24 | WARNING | src.services.excel_parser:parse_excel_file:184 | Could not parse verification date in row 209, value: nan
